teinte_id;teinte_label;Teinte_hexa
286;510;#f4c6c9
287;192;#e5053a
288;193;#bf0a30
289;194;#992135
290;195;#772d35
291;1895;#fcbfc9
292;1905;#fc9bb2
293;1915;#f4547c
294;1925;#e00747
295;511;#602144
296;512;#84216b
297;513;#9e2387
298;514;#d884bc
299;515;#e8a3c9
300;516;#f2bad3
301;517;#f4ccd8
302;5115;#4f213a
303;1935;#c10538
304;1945;#a80c35
305;1955;#931638
306;196;#f4c9c9
307;197;#ef99a3
308;198;#e5566d
309;199;#d81c3f
310;200;#c41e3a
311;5125;#754760
312;5135;#936b7f
313;5145;#ad8799
314;5155;#ccafb7
315;5165;#e0c9cc
316;5175;#e8d6d1
317;518;#512d44
318;519;#63305e
319;201;#a32638
320;202;#8c2633
321;203;#f2afc1
322;204;#ed7a9e
323;205;#e54c7c
324;206;#d30547
325;207;#af003d
326;208;#8e2344
327;520;#703572
328;521;#b58cb2
329;522;#c6a3c1
330;523;#d3b7cc
331;524;#e2ccd3
332;5185;#472835
333;5195;#593344
334;5205;#8e6877
335;209;#75263d
336;210;#ffa0bf
337;211;#ff77a8
338;212;#f94f8e
339;213;#ea0f6b
340;214;#cc0256
341;215;#a50544
342;216;#7c1e3f
343;5215;#b5939b
344;5225;#ccadaf
345;5235;#ddc6c4
346;5245;#e5d3cc
347;525;#512654
348;526;#68217a
349;527;#7a1e99
350;528;#af72c1
351;217;#f4bfd1
352;218;#ed72aa
353;219;#e22882
354;Rubine Red;#d100562
355;220;#aa004f
356;221;#930042
357;222;#70193d
358;223;#f993c4
359;529;#cea3d3
360;530;#d6afd6
361;531;#e5c6db
362;5255;#35264f
363;5265;#493d63
364;5275;#605677
365;5285;#8c8299
366;5295;#b2a8b5
367;224;#f46baf
368;225;#ed2893
369;226;#d60270
370;227;#ad005b
371;228;#8c004c
372;229;#6d213f
373;230;#ffa0cc
374;231;#fc70ba
375;5305;#ccc1c6
376;5315;#dbd3d3
377;532;#353842
378;533;#353f5b
379;534;#3a4972
380;535;#9ba3b7
381;536;#adb2c1
382;537;#c4c6ce
383;232;#f43fa5
384;Rhodamine;#ed0091
